Insect_number,Group,Age,Weight
larva02,Fed Dt,6th,0.4835
larva03,Fed Dt,4th,0.0501
larva03,Fed Dt,5th,0.1507
larva03,Fed Dt,6th,0.4494
larva04,Fed Dt,4th,0.0453
larva04,Fed Dt,5th,0.1363
larva04,Fed Dt,6th,0.4293
larva05,Fed Dt,4th,0.0281
larva05,Fed Dt,5th,0.1663
larva05,Fed Dt,6th,0.4165
larva06,Fed Dt,4th,0.0576
larva06,Fed Dt,5th,0.1807
larva06,Fed Dt,6th,0.5005
larva07,Fed Dt,4th,0.0539
larva07,Fed Dt,5th,0.1707
larva07,Fed Dt,6th,0.453
larva08,Fed Dt,4th,0.0382
larva08,Fed Dt,5th,0.1576
larva08,Fed Dt,6th,0.5023
larva09,Fed Dt,4th,0.0537
larva09,Fed Dt,5th,0.1752
larva09,Fed Dt,6th,0.406
larva10,Fed Dt,4th,0.0509
larva10,Fed Dt,5th,0.1597
larva10,Fed Dt,6th,0.4008
larva11,Fed Dt,4th,0.0599
larva11,Fed Dt,5th,0.1779
larva11,Fed Dt,6th,0.4633
larva12,Fed Dt,4th,0.0229
larva12,Fed Dt,5th,0.1881
larva12,Fed Dt,6th,0.4389
larva13,Fed Dt,4th,0.0518
larva13,Fed Dt,5th,0.163
larva13,Fed Dt,6th,0.4608
larva14,Fed Dt,4th,0.0304
larva14,Fed Dt,5th,0.126
larva14,Fed Dt,6th,0.4429
larva15,Fed Dt,4th,0.0534
larva15,Fed Dt,5th,0.1813
larva15,Fed Dt,6th,0.5214
larva16,Fed Dt,4th,0.1713
larva16,Fed Dt,5th,0.2454
larva16,Fed Dt,6th,0.3586
larva17,Fed Dt,4th,0.1447
larva17,Fed Dt,5th,0.1988
larva17,Fed Dt,6th,0.3763
larva18,Fed Dt,4th,0.0461
larva18,Fed Dt,5th,0.172
larva18,Fed Dt,6th,0.389
larva19,Fed Dt,4th,0.0399
larva19,Fed Dt,5th,0.1676
larva19,Fed Dt,6th,0.4144
larva20,Fed Dt,4th,0.0368
larva20,Fed Dt,5th,0.1962
larva20,Fed Dt,6th,0.5257
larva21,Fed Dt,4th,0.0517
larva21,Fed Dt,5th,0.1766
larva21,Fed Dt,6th,0.3695
larva22,Fed Dt,4th,0.0442
larva22,Fed Dt,5th,0.1618
larva22,Fed Dt,6th,0.4746
larva23,Fed Dt,4th,0.0506
larva23,Fed Dt,5th,0.1571
larva23,Fed Dt,6th,0.369
larva24,Fed Dt,4th,0.0464
larva24,Fed Dt,5th,0.1867
larva24,Fed Dt,6th,0.5485
larva25,Fed Dt,4th,0.0527
larva25,Fed Dt,5th,0.1746
larva25,Fed Dt,6th,0.4669
larva26,Fed Dt,4th,0.0505
larva26,Fed Dt,5th,0.1852
larva26,Fed Dt,6th,0.4608
larva27,Fed Dt,4th,0.0515
larva27,Fed Dt,5th,0.176
larva27,Fed Dt,6th,0.4601
larva28,Fed Dt,4th,0.0472
larva28,Fed Dt,5th,0.1625
larva28,Fed Dt,6th,0.4587
larva29,Fed Dt,4th,0.0436
larva29,Fed Dt,5th,0.1756
larva29,Fed Dt,6th,0.509
larva30,Fed Dt,4th,0.0438
larva30,Fed Dt,5th,0.167
larva30,Fed Dt,6th,0.4209
larva01,Fed Dt,pupa,0.2295
larva02,Fed Dt,pupa,0.2105
larva03,Fed Dt,pupa,0.2171
larva04,Fed Dt,pupa,0.2065
larva05,Fed Dt,pupa,0.2041
larva06,Fed Dt,pupa,0.2315
larva07,Fed Dt,pupa,0.2225
larva08,Fed Dt,pupa,0.2252
larva09,Fed Dt,pupa,0.2125
larva10,Fed Dt,pupa,0.2093
larva11,Fed Dt,pupa,0.2241
larva12,Fed Dt,pupa,0.2316
larva13,Fed Dt,pupa,0.2257
larva14,Fed Dt,pupa,0.2353
larva15,Fed Dt,pupa,0.2397
larva16,Fed Dt,pupa,0.1808
larva17,Fed Dt,pupa,0.1891
larva18,Fed Dt,pupa,0.1975
larva19,Fed Dt,pupa,0.2186
larva20,Fed Dt,pupa,0.2464
larva21,Fed Dt,pupa,0.204
larva22,Fed Dt,pupa,0.216
larva23,Fed Dt,pupa,0.1969
larva24,Fed Dt,pupa,0.2468
larva25,Fed Dt,pupa,0.2054
larva26,Fed Dt,pupa,0.1993
larva27,Fed Dt,pupa,0.2281
larva28,Fed Dt,pupa,0.2055
larva29,Fed Dt,pupa,0.2279
larva30,Fed Dt,pupa,0.2076
