SampleID,Source,reads_ChloroplastExcluded,richness,shannon_e
L_ZDXG190731_021,Larva,52823,301,2.72
L_ZDXG190731_022,Larva,51318,424,1.75
L_ZDXG190731_023,Larva,55674,49,0.711
L_ZDXG190731_024,Larva,12345,178,1.35
L_ZDXG190731_025,Larva,8781,142,1.06
L_ZDXG190731_028,Larva,37280,235,1.18
L_ZDXG190801_002,Larva,471,33,1.96
L_ZDXG190801_003,Larva,53,15,1.82
L_ZDXG190801_008,Larva,42669,118,0.765
L_ZDXG190801_014,Larva,36991,199,0.945
L_ZDXG190801_016,Larva,13293,163,1.79
L_ZDXG190801_017,Larva,27009,168,1.39
L_ZDXG190801_019,Larva,8937,163,1.29
L_ZDXG190801_020,Larva,18988,69,0.959
P_BJDLS190907_001,Plant,11852,45,1.79
P_BJDLS190907_003,Plant,40502,146,2.4
P_BJDLS190907_006,Plant,50325,288,3.07
P_BJDLS190907_007,Plant,59301,225,1.88
P_BJDLS190908_001,Plant,7549,201,1.49
P_BJDLS190908_002,Plant,7811,135,2.02
P_BJDLS190908_007,Plant,39181,512,4.22
P_BJDLS190908_009,Plant,41771,230,2.73
P_BJDLS190908_011,Plant,35087,168,1.34
P_BJDLS190908_012,Plant,10607,109,2.72
P_BJDLS190909_006,Plant,38072,57,1.62
P_BJDLS190924_002,Plant,42805,215,1.77
P_BJDLS190924_003,Plant,41815,395,1.74
P_BJDLS190924_004,Plant,11399,258,3.58
P_BJDLS190925_004,Plant,10634,242,2.81
P_BJDLS190925_006,Plant,13428,260,2.8
P_BJDLS190925_007,Plant,50266,79,2.47
P_BJDLS190925_011,Plant,8019,216,1.99
P_BJDLS190926_001,Plant,22646,151,1.57
P_BJDLS190926_008,Plant,10674,314,3.47
P_BJDLS190926_009,Plant,37825,164,2.61
P_BJDLS190926_010,Plant,30011,189,1.98
P_BJDLS190926_011,Plant,38224,188,2.45
P_CMX20210729_001,Plant,4050,294,3.82
P_CMX20210729_003,Plant,783,105,3.1
P_CMX20210729_004,Plant,566,80,2.74
P_CMX20210729_005,Plant,5418,262,3.64
P_CMX20210729_006,Plant,651,104,3.21
P_CMX20210729_007,Plant,22201,405,4.23
P_CMX20210730_001,Plant,58555,700,4.7
P_CMX20210730_004,Plant,7795,348,3.67
P_CMX20210731_001,Plant,13811,680,5.06
P_CMX20210731_002,Plant,26405,613,4.71
P_CMX20210731_003,Plant,43379,677,4.52
P_CMX20210731_005,Plant,52541,978,4.89
P_CMX20210731_006,Plant,45002,679,4.61
P_CMX20210801_005,Plant,6555,672,5.22
P_CMX20210802_008,Plant,55222,830,5.27
P_CMX20210803_002,Plant,2415,333,4.65
P_CMX20210803_003,Plant,1921,190,3.28
P_CMX20210803_006,Plant,2004,100,1.73
P_CMX20210803_008,Plant,27139,578,4.3
P_CMX20210803_009,Plant,28901,816,4.35
P_CMX20210803_010,Plant,7196,294,3.46
P_CMX20210804_001,Plant,701,53,2.15
P_CMX20210804_002,Plant,1468,133,3.34
P_CMX20210804_003,Plant,16419,641,4.85
P_CMX20210804_007,Plant,64760,750,4.84
P_CMX20210804_010,Plant,7257,436,4.72
P_CMX20210804_011,Plant,2398,287,4.14
P_CMX20210804_012,Plant,23097,453,4.16
P_CMX20210804_013,Plant,13094,550,4.75
P_CMX20210804_018,Plant,3187,225,3.51
P_MFS20210910_001,Plant,6651,463,4.99
P_MFS20210910_011,Plant,3890,202,3.49
P_MFS20210910_012,Plant,2010,127,3.45
P_MFS20210911_001,Plant,4191,183,3.69
P_MFS20210911_002,Plant,32647,487,4.2
P_MFS20210911_003,Plant,7904,251,3.8
P_MFS20210911_004,Plant,4463,226,3.33
P_MFS20210911_006,Plant,666,77,2.95
P_MFS20210911_007,Plant,27350,218,3.17
P_MFS20210911_008,Plant,605,92,3.34
P_MFS20210911_009,Plant,1206,74,2.78
P_MFS20210911_011,Plant,2151,136,2.73
P_SLX20210913_001,Plant,28319,486,4.09
P_SLX20210913_002,Plant,17859,589,4.81
P_SLX20210913_003,Plant,5609,163,3.54
P_SLX20210913_004,Plant,3218,206,3.86
P_SLX20210913_005,Plant,7420,347,4.51
P_SLX20210913_006,Plant,4538,158,4.16
P_SLX20210913_007,Plant,5463,177,3.15
P_SLX20210913_008,Plant,16990,412,4.46
P_SLX20210914_001,Plant,22174,436,4.33
P_SLX20210914_004,Plant,8348,360,4.18
P_SLX20210914_005,Plant,27729,507,4.09
P_SLX20210914_007,Plant,33155,486,4.38
P_SLX20210914_008,Plant,9252,225,3.5
