SampleID,Source,reads_ChloroplastExcluded,richness,shannon_e
L_ZCGS190805_009,Larva,37034,237,2.49
L_ZCGS190805_012,Larva,9483,173,1.86
L_ZCGS190805_013,Larva,39322,349,2.65
L_ZCGS190805_022,Larva,8250,182,2.14
L_ZCGS190805_025,Larva,9578,176,2.83
L_ZDXG190726_002,Larva,542,66,2.59
L_ZDXG190726_003,Larva,350,32,1.62
L_ZDXG190726_004,Larva,2516,222,3.52
L_ZDXG190726_005,Larva,1145,112,2.95
L_ZDXG190726_007,Larva,830,39,1.71
L_ZDXG190726_008,Larva,751,19,0.458
L_ZDXG190727_003,Larva,9780,184,1.32
L_ZDXG190727_004,Larva,40292,145,1.47
L_ZDXG190727_005,Larva,41669,278,2.31
L_ZDXG190727_011,Larva,35289,301,1.31
L_ZDXG190727_012,Larva,41425,314,1.34
L_ZDXG190727_016,Larva,1753,148,1.78
L_ZDXG190727_017,Larva,808,89,2.41
L_ZDXG190727_018,Larva,1873,80,1.12
L_ZDXG190728_002,Larva,36900,198,1.26
L_ZDXG190728_003,Larva,51819,146,1.03
L_ZDXG190728_004,Larva,11411,151,1.08
L_ZDXG190728_009,Larva,30744,198,1.16
L_ZDXG190728_010,Larva,32499,146,0.942
L_ZDXG190728_013,Larva,35956,170,1.02
L_ZDXG190728_014,Larva,40630,201,1.06
L_ZDXG190728_015,Larva,44803,196,1.83
L_ZDXG190728_017,Larva,3467,113,1.66
L_ZDXG190728_018,Larva,932,51,1.7
L_ZDXG190728_019,Larva,1716,58,1.3
L_ZDXG190728_020,Larva,39439,136,1.04
L_ZDXG190728_021,Larva,43066,175,0.967
L_ZDXG190728_022,Larva,31010,195,1.67
L_ZDXG190728_023,Larva,6217,223,2.71
L_ZDXG190728_025,Larva,565,97,3.18
L_ZDXG190728_026,Larva,2393,108,3.21
L_ZDXG190728_027,Larva,78108,142,0.775
L_ZDXG190728_036,Larva,34701,188,1.09
L_ZDXG190730_006,Larva,10832,128,1.84
L_ZDXG190730_010,Larva,44438,226,2.31
L_ZDXG190730_012,Larva,57337,248,2
L_ZDXG190730_013,Larva,12914,163,2.07
L_ZDXG190730_018,Larva,8631,94,1.89
L_ZDXG190730_019,Larva,28668,150,1.9
L_ZDXG190730_020,Larva,38888,91,1.75
L_ZDXG190730_039,Larva,26600,190,1.72
L_ZDXG190730_042,Larva,81516,316,1.72
L_ZDXG190730_043,Larva,10400,252,1.78
L_ZDXG190730_045,Larva,4624,128,1.34
L_ZDXG190730_046,Larva,51994,250,2.98
L_ZDXG190731_001,Larva,34416,7,1.06
L_ZDXG190731_011,Larva,61456,68,0.676
L_ZDXG190731_012,Larva,12226,232,1.48
L_ZDXG190731_013,Larva,51549,271,1.35
L_ZDXG190731_016,Larva,4976,106,1.44
L_ZDXG190731_017,Larva,15109,132,1.75
L_ZDXG190731_019,Larva,46076,170,1.55
