OTU_ID,Occurrence_of_OTU_in_plant_samples(%),Average_relative_OTU_content_in_plant_samples(%),Occurrence_of_OTU_in_soil_samples(%),Average_relative_OTU_content_in_soil_samples(%),Log10_Average_relative_OTU_content_in_plant_samples,Log10_Average_relative_OTU_content_in_soil_samples
OTU_1111,2.564102564,0.00655308,12.90322581,0.002283846,-2.18355453,-2.641333232
OTU_1112,17.94871795,0.010976083,0,0,-1.959552634,NA
OTU_1113,0,0,90.32258065,0.015123769,NA,-1.820339954
OTU_1114,0,0,80.64516129,0.026201686,NA,-1.581670766
OTU_1116,0,0,67.74193548,0.071626425,NA,-1.144926724
OTU_1117,25.64102564,0.019994282,16.12903226,0.001943104,-1.699094191,-2.711503865
OTU_1118,7.692307692,0.00610051,48.38709677,0.007137134,-2.21463388,-2.146476149
OTU_1119,7.692307692,0.031034355,3.225806452,0.001182131,-1.508157281,-2.927334394
OTU_112,58.97435897,2.029077661,3.225806452,0.002196016,0.30729867,-2.6583645
OTU_1120,2.564102564,0.008491127,100,0.10936126,-2.071034663,-0.961136496
OTU_1121,12.82051282,0.021598514,3.225806452,0.00279275,-1.66557612,-2.55396794
OTU_1122,0,0,77.41935484,0.038387861,NA,-1.415806088
OTU_1123,7.692307692,0.014792287,0,0,-1.829964685,NA
OTU_1124,0,0,80.64516129,0.086098323,NA,-1.065005308
OTU_1125,0,0,70.96774194,0.029009033,NA,-1.537466742
OTU_1126,0,0,22.58064516,0.003926868,NA,-2.40595365
OTU_1127,0,0,64.51612903,0.079066513,NA,-1.102007413
OTU_1128,0,0,90.32258065,0.090303607,NA,-1.044294902
OTU_1129,0,0,61.29032258,0.014982062,NA,-1.824428422
OTU_113,2.564102564,0.037397158,0,0,-1.427161401,NA
OTU_1130,0,0,0,0,NA,NA
OTU_1131,5.128205128,0.013764973,67.74193548,0.009591785,-1.861224652,-2.018100567
OTU_1132,0,0,93.5483871,0.053859216,NA,-1.268739971
OTU_1133,0,0,90.32258065,0.090719494,NA,-1.04229938
OTU_1134,28.20512821,0.008913667,0,0,-2.04994359,NA
OTU_1135,30.76923077,0.011395782,3.225806452,0.003988593,-1.943255864,-2.399180277
OTU_1136,0,0,61.29032258,0.012856041,NA,-1.890892739
OTU_1137,0,0,61.29032258,0.014494708,NA,-1.838790542
OTU_1138,28.20512821,0.055603418,9.677419355,0.002677548,-1.254898512,-2.572262735
OTU_1139,2.564102564,0.00509165,80.64516129,0.009006015,-2.293141457,-2.045467351
OTU_114,46.15384615,0.038243022,19.35483871,0.003032672,-1.417447799,-2.518174558
OTU_1140,2.564102564,0.003135681,77.41935484,0.07440407,-2.503668126,-1.128403307
OTU_1141,0,0,6.451612903,0.001325776,NA,-2.877529847
OTU_1142,0,0,45.16129032,0.005585561,NA,-2.252933218
OTU_1143,0,0,0,0,NA,NA
OTU_1144,0,0,41.93548387,0.020247362,NA,-1.693631544
OTU_1146,12.82051282,0.026110087,93.5483871,0.172878062,-1.583191684,-0.762260115
OTU_1147,0,0,35.48387097,0.006961056,NA,-2.157324895
OTU_1148,25.64102564,0.042761908,16.12903226,0.005718556,-1.36894293,-2.242713591
OTU_1149,20.51282051,0.046637967,16.12903226,0.002405888,-1.331260392,-2.618724594
OTU_115,23.07692308,0.056870522,9.677419355,0.001353831,-1.245112782,-2.868435439
OTU_1151,0,0,87.09677419,0.013464289,NA,-1.870816586
OTU_1152,0,0,0,0,NA,NA
OTU_1153,0,0,74.19354839,0.069411358,NA,-1.158569461
OTU_1154,23.07692308,0.025569832,0,0,-1.592272118,NA
OTU_1156,7.692307692,0.014914345,77.41935484,0.006224404,-1.826395815,-2.205902236
OTU_1157,0,0,51.61290323,0.006692592,NA,-2.17440567
OTU_1158,7.692307692,0.985131313,0,0,-0.006505877,NA
OTU_1159,12.82051282,0.081465765,9.677419355,0.001968482,-1.089024861,-2.705868626
OTU_116,0,0,0,0,NA,NA
OTU_1160,12.82051282,0.105022153,61.29032258,0.0228263,-0.978719082,-1.641564473
