OTU_ID,Occurrence_of_OTU_in_plant_samples(%),Average_relative_OTU_content_in_plant_samples(%),Occurrence_of_OTU_in_soil_samples(%),Average_relative_OTU_content_in_soil_samples(%),Log10_Average_relative_OTU_content_in_plant_samples,Log10_Average_relative_OTU_content_in_soil_samples
OTU_1117,46.66666667,0.046391235,68.18181818,0.012302067,-1.33356407,-1.910021903
OTU_1118,10,0.005860974,95.45454545,0.145529777,-2.23203023,-0.837048136
OTU_1119,23.33333333,0.03119971,18.18181818,0.004084479,-1.505849439,-2.388863332
OTU_112,6.666666667,0.020005781,4.545454545,0.019146085,-1.698844501,-1.717920017
OTU_1120,0,0,63.63636364,0.012114221,NA,-1.916704498
OTU_1121,36.66666667,0.015472619,4.545454545,0.00998602,-1.810436161,-2.000607568
OTU_1122,0,0,72.72727273,0.016954939,NA,-1.770703762
OTU_1123,33.33333333,0.043297219,0,0,-1.363539996,NA
OTU_1124,0,0,0,0,NA,NA
OTU_1125,0,0,86.36363636,0.016430997,NA,-1.784336071
OTU_1126,0,0,0,0,NA,NA
OTU_1127,0,0,18.18181818,0.013020534,NA,-1.885371221
OTU_1128,0,0,36.36363636,0.006517112,NA,-2.185944799
OTU_1129,0,0,90.90909091,0.052809428,NA,-1.277288539
OTU_113,3.333333333,0.049382716,13.63636364,0.011041343,-1.306425028,-1.956978112
OTU_1130,66.66666667,0.175333561,0,0,-0.756134946,NA
OTU_1131,6.666666667,0.023198161,59.09090909,0.017083007,-1.634546451,-1.767435681
OTU_1132,0,0,100,0.056214336,NA,-1.250152919
OTU_1133,0,0,31.81818182,0.004960422,NA,-2.304481375
OTU_1134,80,0.523011038,13.63636364,0.00536359,-0.281489145,-2.270544401
OTU_1135,56.66666667,0.111353879,68.18181818,0.020870562,-0.953294651,-1.68046586
OTU_1136,0,0,4.545454545,0.009573042,NA,-2.018950036
OTU_1137,0,0,27.27272727,0.005763687,NA,-2.239299624
OTU_1138,53.33333333,0.06945991,36.36363636,0.008452903,-1.158265787,-2.072994108
OTU_1139,0,0,100,0.041122366,NA,-1.385921906
OTU_114,83.33333333,1.585653458,59.09090909,0.061824503,0.200208279,-1.208839367
OTU_1140,0,0,40.90909091,0.020840647,NA,-1.681088807
OTU_1141,0,0,18.18181818,0.010353454,NA,-1.984914742
OTU_1142,0,0,95.45454545,0.114942231,NA,-0.939520378
OTU_1143,20,0.068470854,4.545454545,0.006023008,-1.164494256,-2.22018656
OTU_1144,0,0,63.63636364,0.052756501,NA,-1.277724017
OTU_1146,0,0,100,0.144599131,NA,-0.839834318
OTU_1147,3.333333333,0.007240605,72.72727273,0.034109095,-2.140225144,-1.467129802
OTU_1148,63.33333333,0.052538782,0,0,-1.279519998,NA
OTU_1149,16.66666667,0.011255727,36.36363636,0.011441314,-1.948626449,-1.94152411
OTU_115,90,2.16239711,63.63636364,0.017891603,0.334935452,-1.747350759
OTU_1151,3.333333333,0.003806551,100,0.10746394,-2.419468347,-0.968737242
OTU_1152,70,0.261962705,0,0,-0.581760533,NA
OTU_1153,3.333333333,0.018017206,40.90909091,0.011975658,-1.744312556,-1.921700627
OTU_1154,56.66666667,0.073137155,0,0,-1.135861936,NA
OTU_1156,0,0,59.09090909,0.005679026,NA,-2.245726137
OTU_1157,10,0.006872965,90.90909091,0.045513519,-2.162855889,-1.341859583
OTU_1158,0,0,0,0,NA,NA
OTU_1159,13.33333333,0.00398024,0,0,-2.40009074,NA
OTU_116,0,0,0,0,NA,NA
OTU_1160,3.333333333,0.018271515,95.45454545,0.106740519,-1.738225441,-0.971670691
OTU_1161,0,0,13.63636364,0.007061498,NA,-2.151103139
OTU_1163,0,0,0,0,NA,NA
OTU_1164,20,0.026779537,81.81818182,0.01589111,-1.572196944,-1.798845771
OTU_1165,3.333333333,0.003460088,68.18181818,0.010963897,-2.460912856,-1.960035058
OTU_1166,6.666666667,0.00614177,100,0.120524931,-2.211706451,-0.918923108
OTU_1167,0,0,22.72727273,0.009767162,NA,-2.010231627
OTU_1168,0,0,31.81818182,0.009618578,NA,-2.016889142
OTU_1169,0,0,0,0,NA,NA
OTU_117,0,0,0,0,NA,NA
OTU_1170,13.33333333,0.021088711,0,0,-1.675949975,NA
OTU_1172,0,0,13.63636364,0.004969776,NA,-2.303663215
OTU_1173,0,0,90.90909091,0.089609902,NA,-1.047643999
OTU_1175,0,0,4.545454545,0.009573042,NA,-2.018950036
OTU_1176,0,0,0,0,NA,NA
OTU_1177,26.66666667,0.572767304,100,0.093626086,-0.242021781,-1.028603133
OTU_1178,0,0,100,0.176626431,NA,-0.752944305
OTU_118,96.66666667,0.53574559,86.36363636,0.023788815,-0.271041395,-1.623627182
OTU_1180,0,0,95.45454545,0.041952448,NA,-1.377242693
OTU_1181,3.333333333,0.004444247,50,0.037510598,-2.352201812,-1.425846013
OTU_1183,3.333333333,0.091533181,90.90909091,0.106943366,-1.038421445,-0.970846153
OTU_1185,0,0,54.54545455,0.018489528,NA,-1.733074175
OTU_1186,0,0,86.36363636,0.172044427,NA,-0.76435939
OTU_1187,0,0,0,0,NA,NA
OTU_1189,33.33333333,0.017019175,59.09090909,0.009772871,-1.769061501,-2.00997782
OTU_119,0,0,0,0,NA,NA
OTU_1190,13.33333333,0.057388628,0,0,-1.24117416,NA
OTU_1191,0,0,81.81818182,0.015665355,NA,-1.805059767
OTU_1192,0,0,0,0,NA,NA
OTU_1194,0,0,27.27272727,0.02525273,NA,-1.597691668
OTU_1195,16.66666667,0.372181308,0,0,-0.429245443,NA
OTU_1199,0,0,81.81818182,0.017442247,NA,-1.758397572
OTU_12,0,0,0,0,NA,NA
OTU_120,0,0,0,0,NA,NA
OTU_1200,0,0,0,0,NA,NA
OTU_1202,0,0,63.63636364,0.124538925,NA,-0.904694889
OTU_1203,13.33333333,0.011017957,0,0,-1.957898937,NA
OTU_1204,0,0,45.45454545,0.008226205,NA,-2.084800498
OTU_1205,70,0.115291875,4.545454545,0.003180055,-0.938201297,-2.497565369
