OTU_ID,Occurrence_of_OTU_in_plant_samples(%),Average_relative_OTU_content_in_plant_samples(%),Occurrence_of_OTU_in_soil_samples(%),Average_relative_OTU_content_in_soil_samples(%),Log10_Average_relative_OTU_content_in_plant_samples,Log10_Average_relative_OTU_content_in_soil_samples
OTU_1090,28.76712329,0.135012047,28.30188679,0.005692952,-0.869627477,-2.244662442
OTU_1091,4.109589041,0.011318618,0,0,-1.946206597,NA
OTU_1095,0,0,37.73584906,0.067985093,NA,-1.167586304
OTU_1096,0,0,3.773584906,0.01477072,NA,-1.830598334
OTU_1098,1.369863014,0.002391486,75.47169811,0.040120473,-2.621332157,-1.396633958
OTU_1099,0,0,71.69811321,0.014292429,NA,-1.844893969
OTU_110,79.45205479,0.454300686,43.39622642,0.004988956,-0.342656607,-2.301990319
OTU_1100,0,0,20.75471698,0.012697865,NA,-1.896269301
OTU_1101,0,0,86.79245283,0.02083562,NA,-1.68119357
OTU_1102,0,0,69.81132075,0.028498781,NA,-1.545173721
OTU_1104,0,0,13.20754717,0.016566203,NA,-1.780777025
OTU_1105,0,0,71.69811321,0.059962479,NA,-1.222120419
OTU_1106,1.369863014,0.007447125,90.56603774,0.110620281,-2.128011356,-0.956165244
OTU_1107,5.479452055,0.011213978,50.94339623,0.013454189,-1.950240291,-1.871142467
OTU_1108,0,0,79.24528302,0.046585999,NA,-1.331744589
OTU_1109,4.109589041,0.027156065,71.69811321,0.02844043,-1.56613316,-1.546063846
OTU_111,23.28767123,0.200093805,0,0,-0.698766357,NA
OTU_1111,5.479452055,0.010155642,96.22641509,0.087655186,-1.993292638,-1.057222383
OTU_1112,31.50684932,0.160174103,28.30188679,0.008137724,-0.795407699,-2.089497022
OTU_1113,0,0,73.58490566,0.025133052,NA,-1.599754771
OTU_1114,0,0,69.81132075,0.025657823,NA,-1.590780193
OTU_1116,0,0,0,0,NA,NA
OTU_1117,17.80821918,0.159792809,33.96226415,0.008484484,-0.796442769,-2.071374568
OTU_1118,9.589041096,0.01516554,56.60377358,0.013878454,-1.819142121,-1.857658925
OTU_1119,19.17808219,0.153260137,79.24528302,0.077830702,-0.814570791,-1.108849055
OTU_112,19.17808219,0.255927132,1.886792453,0.00286533,-0.591883671,-2.542825353
OTU_1120,0,0,15.09433962,0.006118045,NA,-2.213387351
OTU_1121,15.06849315,0.097763077,35.8490566,0.018093168,-1.009825136,-1.74248538
OTU_1122,0,0,83.01886792,0.041470009,NA,-1.382265875
OTU_1123,39.7260274,0.168556676,0,0,-0.773254042,NA
OTU_1124,0,0,7.547169811,0.013727886,NA,-1.862396328
OTU_1125,0,0,90.56603774,0.066190392,NA,-1.179205048
OTU_1126,0,0,90.56603774,0.072826648,NA,-1.137709678
OTU_1127,0,0,1.886792453,0.015968064,NA,-1.796747735
OTU_1128,0,0,47.16981132,0.012488961,NA,-1.903473678
OTU_1129,0,0,100,0.114078878,NA,-0.942794759
OTU_113,1.369863014,0.205655527,15.09433962,0.00701241,-0.686859614,-2.154132684
OTU_1130,61.64383562,0.336000775,0,0,-0.473659721,NA
OTU_1131,0,0,83.01886792,0.07454275,NA,-1.127594588
OTU_1132,0,0,96.22641509,0.046795909,NA,-1.32979211
OTU_1133,0,0,32.0754717,0.019192306,NA,-1.716872831
OTU_1134,20.54794521,0.08664572,1.886792453,0.007984032,-1.062252886,-2.097777731
OTU_1135,19.17808219,0.052575264,83.01886792,0.015394653,-1.279218542,-1.812630082
OTU_1136,0,0,96.22641509,0.104814552,NA,-0.979578416
OTU_1137,0,0,67.9245283,0.050945877,NA,-1.29289096
OTU_1138,9.589041096,0.03948638,24.52830189,0.004825271,-1.403552679,-2.316478304
OTU_1139,0,0,98.11320755,0.069269482,NA,-1.159458061
OTU_114,17.80821918,0.057785015,35.8490566,0.006433118,-1.238184768,-2.1915785
OTU_1140,0,0,13.20754717,0.022482703,NA,-1.648151479
OTU_1141,1.369863014,0.013246788,84.90566038,0.063477602,-1.877889414,-1.197379486
OTU_1142,0,0,77.35849057,0.026300832,NA,-1.580030513
OTU_1143,9.589041096,0.330763528,1.886792453,0.002928,-0.480482384,-2.533428928
OTU_1144,1.369863014,0.002552257,67.9245283,0.044919515,-2.593075596,-1.347564945
OTU_1146,2.739726027,0.005744293,100,0.137817335,-2.240763416,-0.860696153
OTU_1147,5.479452055,0.015754878,88.67924528,0.038035558,-1.802584969,-1.41981021
OTU_1148,30.1369863,0.119463622,5.660377358,0.005334949,-0.922764322,-2.272869728
OTU_1149,5.479452055,0.089475432,16.98113208,0.010355347,-1.048296199,-1.984835353
OTU_115,45.20547945,0.088805297,73.58490566,0.011832784,-1.051561128,-1.926913079
OTU_1151,0,0,79.24528302,0.03326884,NA,-1.477962347
OTU_1152,1.369863014,0.002552257,0,0,-2.593075596,NA
OTU_1153,0,0,9.433962264,0.006768545,NA,-2.169504667
